iter	Passed	Remaining
0	1	1956
1	3	1574
2	4	1359
3	5	1289
4	6	1278
5	7	1257
6	10	1547
7	12	1506
8	13	1475
9	14	1450
10	15	1408
11	16	1376
12	17	1361
13	19	1340
14	20	1326
15	21	1311
16	22	1302
17	23	1306
18	26	1342
19	27	1346
20	29	1358
21	30	1354
22	31	1349
23	32	1333
24	33	1322
25	35	1314
26	36	1302
27	37	1291
28	38	1283
29	39	1283
30	40	1278
31	42	1277
32	43	1275
33	44	1272
34	46	1269
35	47	1268
36	48	1263
37	49	1255
38	50	1252
39	51	1246
40	53	1246
41	54	1251
42	56	1252
43	57	1252
44	58	1250
45	60	1249
46	61	1245
47	62	1243
48	63	1241
49	65	1237
50	66	1233
51	67	1231
52	69	1240
53	70	1243
54	72	1241
55	73	1242
56	74	1239
57	76	1238
58	77	1232
59	78	1226
60	79	1221
61	80	1216
62	81	1210
63	82	1206
64	84	1210
65	85	1211
66	87	1212
67	88	1211
68	89	1208
69	90	1203
70	91	1200
71	92	1193
72	93	1190
73	94	1184
74	95	1181
75	96	1178
76	97	1173
77	99	1171
78	100	1169
79	101	1165
80	102	1163
81	103	1157
82	103	1147
83	104	1141
84	105	1136
85	106	1130
86	107	1124
87	108	1119
88	108	1114
89	109	1108
90	110	1102
91	111	1097
92	112	1093
93	112	1088
94	114	1087
95	115	1090
96	117	1091
97	118	1089
98	119	1084
99	120	1082
100	121	1082
101	122	1081
102	123	1078
103	125	1080
104	126	1077
105	127	1072
106	128	1068
107	129	1067
108	130	1067
109	131	1066
110	133	1065
111	134	1062
112	134	1058
113	135	1054
114	136	1050
115	137	1046
116	137	1041
117	138	1036
118	139	1032
119	140	1028
120	141	1025
121	141	1020
122	142	1016
123	143	1013
124	144	1013
125	145	1011
126	146	1009
127	148	1008
128	149	1006
129	150	1005
130	151	1004
131	152	1002
132	153	999
133	154	995
134	154	992
135	155	988
136	156	985
137	157	982
138	158	979
139	159	977
140	160	977
141	161	974
142	162	973
143	163	970
144	164	967
145	164	964
146	165	961
147	166	958
148	167	955
149	168	953
150	169	950
151	169	948
152	170	945
153	171	942
154	172	939
155	173	938
156	174	936
157	175	937
158	177	937
159	178	936
160	178	932
161	179	930
162	180	927
163	181	925
164	182	922
165	183	920
166	183	917
167	184	914
168	185	912
169	186	910
170	187	907
171	188	905
172	188	902
173	190	902
174	191	902
175	192	902
176	193	900
177	194	898
178	195	895
179	196	893
180	196	891
181	197	888
182	198	886
183	199	884
184	200	881
185	200	879
186	201	877
187	202	875
188	203	874
189	205	874
190	206	874
191	207	875
192	209	873
193	210	873
194	211	871
195	212	870
196	213	869
197	214	868
198	215	866
199	216	865
200	217	863
201	218	862
202	219	859
203	220	858
204	221	859
205	223	859
206	224	858
207	225	857
208	226	856
209	227	854
210	228	853
211	229	851
212	230	850
213	231	848
214	231	846
215	232	845
216	234	844
217	234	842
218	236	842
219	237	843
220	239	843
221	240	842
222	241	840
223	242	839
224	243	838
225	244	836
226	245	834
227	246	833
228	247	832
229	248	831
230	249	829
231	250	828
232	251	827
233	252	827
234	253	826
235	255	826
236	256	825
237	257	824
238	258	823
239	259	823
240	261	822
241	262	822
242	263	820
243	264	818
244	265	818
245	267	818
246	268	818
247	269	816
248	270	815
249	271	813
250	272	811
251	273	810
252	273	808
253	274	807
254	275	806
255	276	804
256	277	803
257	278	801
258	279	800
259	280	799
260	282	799
261	283	798
262	284	798
263	286	797
264	287	796
265	287	794
266	288	793
267	289	791
268	290	790
269	291	788
270	292	787
271	293	785
272	294	784
273	295	783
274	296	782
275	298	781
276	299	781
277	300	780
278	301	779
279	302	777
280	303	776
281	304	774
282	305	773
283	306	771
284	307	770
285	307	768
286	308	767
287	310	766
288	311	766
289	313	767
290	314	767
291	316	767
292	317	767
293	318	765
294	320	764
295	320	763
296	321	761
297	322	760
298	323	759
299	324	757
300	325	756
301	327	755
302	328	755
303	329	754
304	330	753
305	331	752
306	332	751
307	333	749
308	334	748
309	335	747
310	336	746
311	337	745
312	338	743
313	340	742
314	340	741
315	341	740
316	343	739
317	344	738
318	345	737
319	346	737
320	348	737
321	349	736
322	351	735
323	352	734
324	353	733
325	354	732
326	355	732
327	357	731
328	358	731
329	359	730
330	361	729
331	362	728
332	363	727
333	364	727
334	365	726
335	367	725
336	368	724
337	369	722
338	370	721
339	371	720
340	372	720
341	374	720
342	375	719
343	376	718
344	377	717
345	378	715
346	382	720
347	383	718
348	384	717
349	385	716
350	388	719
351	390	718
352	391	717
353	392	716
354	393	715
355	394	714
356	395	713
357	397	712
358	398	711
359	399	710
360	400	709
361	402	709
362	404	709
363	409	714
364	410	714
365	411	713
366	413	712
367	414	711
368	415	710
369	416	708
370	418	710
371	420	709
372	421	708
373	422	707
374	423	705
375	424	704
376	425	703
377	426	701
378	427	700
379	428	698
380	428	696
381	429	695
382	430	693
383	431	692
384	432	691
385	434	690
386	435	689
387	436	688
388	437	687
389	439	687
390	440	686
391	441	685
392	442	683
393	443	681
394	444	680
395	445	678
396	445	677
397	446	675
398	447	674
399	449	674
400	450	673
401	451	672
402	453	671
403	454	670
404	455	669
405	456	668
406	457	666
407	459	666
408	460	664
409	461	663
410	462	662
411	463	661
412	465	661
413	466	660
414	468	659
415	469	658
416	470	657
417	471	656
418	472	655
419	473	654
420	474	653
421	476	652
422	478	652
423	482	654
424	483	654
425	485	653
426	486	652
427	487	651
428	488	650
429	490	649
430	490	648
431	492	647
432	494	647
433	495	646
434	497	645
435	498	645
436	500	644
437	501	643
438	502	642
439	503	640
440	504	639
441	505	637
442	506	636
443	507	635
444	509	635
445	511	635
446	513	634
447	514	634
448	516	633
449	517	632
450	559	681
451	561	680
452	564	681
453	566	680
454	567	680
455	570	680
456	579	688
457	581	687
458	582	687
459	584	686
460	586	685
461	588	684
462	590	684
463	592	684
464	593	683
465	595	682
466	617	704
467	618	702
468	620	702
469	621	701
470	623	700
471	626	700
472	627	699
473	628	697
474	630	696
475	631	695
476	639	701
477	641	700
478	643	700
479	645	699
480	646	697
481	648	697
482	651	696
483	653	696
484	654	694
485	655	693
486	657	692
487	658	690
488	659	689
489	660	687
490	661	686
491	662	684
492	664	682
493	665	681
494	666	680
495	667	678
496	669	677
497	670	675
498	671	674
499	672	672
500	673	670
501	674	668
502	674	666
503	675	665
504	676	663
505	677	661
506	678	659
507	679	658
508	681	657
509	682	655
510	683	654
511	685	653
512	686	651
513	687	649
514	688	648
515	689	646
516	690	645
517	691	643
518	692	641
519	693	640
520	694	638
521	695	637
522	697	635
523	698	634
524	699	633
525	700	631
526	702	630
527	703	628
528	704	627
529	705	625
530	706	624
531	707	622
532	708	621
533	710	619
534	711	618
535	713	617
536	714	616
537	715	614
538	716	613
539	718	611
540	719	610
541	720	608
542	721	607
543	722	605
544	723	604
545	725	603
546	727	602
547	728	601
548	730	599
549	731	598
550	732	597
551	733	595
552	735	594
553	736	593
554	738	592
555	740	591
556	741	589
557	742	588
558	744	587
559	746	586
560	747	585
561	748	583
562	749	582
563	750	580
564	751	578
565	752	576
566	753	575
567	754	573
568	756	572
569	757	571
570	758	569
571	759	568
572	760	566
573	761	565
574	762	563
575	763	562
576	764	560
577	765	558
578	766	557
579	767	555
580	768	553
581	769	552
582	771	551
583	772	550
584	774	549
585	775	547
586	776	546
587	777	544
588	778	543
589	779	541
590	780	539
591	780	538
592	781	536
593	782	534
594	783	533
595	784	531
596	785	530
597	786	528
598	787	527
599	789	526
600	790	524
601	790	522
602	791	521
603	792	519
604	793	518
605	794	516
606	795	514
607	796	513
608	797	511
609	798	510
610	798	508
611	799	506
612	800	505
613	802	504
614	803	502
615	804	501
616	805	499
617	806	498
618	806	496
619	807	495
620	809	493
621	810	492
622	811	490
623	812	489
624	813	488
625	814	486
626	816	485
627	817	484
628	819	483
629	820	481
630	821	480
631	822	478
632	823	477
633	824	476
634	825	474
635	826	473
636	827	471
637	828	470
638	829	468
639	831	467
640	832	466
641	833	464
642	834	463
643	836	462
644	837	461
645	839	460
646	840	458
647	841	457
648	842	455
649	843	454
650	844	452
651	845	451
652	846	450
653	848	448
654	849	447
655	850	446
656	851	444
657	852	443
658	853	441
659	854	440
660	855	438
661	856	437
662	857	435
663	857	434
664	859	432
665	860	431
666	861	429
667	862	428
668	863	427
669	865	426
670	866	424
671	867	423
672	868	421
673	869	420
674	869	418
675	870	417
676	871	415
677	872	414
678	873	413
679	874	411
680	876	410
681	877	409
682	878	407
683	880	406
684	881	405
685	882	403
686	883	402
687	884	400
688	885	399
689	886	398
690	887	396
691	888	395
692	889	394
693	890	392
694	892	391
695	893	390
696	894	388
697	895	387
698	896	386
699	897	384
700	898	383
701	899	381
702	900	380
703	901	379
704	902	377
705	903	376
706	904	374
707	906	373
708	907	372
709	908	371
710	909	369
711	910	368
712	911	366
713	912	365
714	913	364
715	914	362
716	915	361
717	916	359
718	917	358
719	918	357
720	919	355
721	920	354
722	921	353
723	922	351
724	923	350
725	925	349
726	926	347
727	927	346
728	928	345
729	929	343
730	931	342
731	932	341
732	933	339
733	934	338
734	935	337
735	937	336
736	938	335
737	940	333
738	941	332
739	942	331
740	943	329
741	945	328
742	946	327
743	947	325
744	947	324
745	948	323
746	950	321
747	951	320
748	952	319
749	954	318
750	955	316
751	956	315
752	957	314
753	958	312
754	959	311
755	960	310
756	961	308
757	962	307
758	963	305
759	964	304
760	964	303
761	965	301
762	967	300
763	968	299
764	969	297
765	970	296
766	971	295
767	973	293
768	974	292
769	975	291
770	976	290
771	977	288
772	978	287
773	979	285
774	980	284
775	981	283
776	982	282
777	984	281
778	986	279
779	987	278
780	988	277
781	989	275
782	991	274
783	992	273
784	993	272
785	994	270
786	995	269
787	996	268
788	997	266
789	1000	265
790	1001	264
791	1002	263
792	1004	262
793	1005	260
794	1006	259
795	1007	258
796	1009	257
797	1010	255
798	1011	254
799	1012	253
800	1015	252
801	1016	251
802	1018	249
803	1019	248
804	1020	247
805	1021	245
806	1023	244
807	1024	243
808	1025	242
809	1027	241
810	1030	240
811	1032	239
812	1033	237
813	1035	236
814	1036	235
815	1037	234
816	1039	232
817	1040	231
818	1042	230
819	1043	229
820	1045	227
821	1047	226
822	1048	225
823	1049	224
824	1050	222
825	1052	221
826	1053	220
827	1055	219
828	1056	218
829	1058	216
830	1059	215
831	1060	214
832	1061	212
833	1062	211
834	1064	210
835	1065	208
836	1066	207
837	1067	206
838	1069	205
839	1071	204
840	1073	202
841	1074	201
842	1076	200
843	1078	199
844	1080	198
845	1082	197
846	1083	195
847	1085	194
848	1087	193
849	1088	192
850	1090	190
851	1091	189
852	1092	188
853	1094	187
854	1095	185
855	1096	184
856	1098	183
857	1100	182
858	1102	180
859	1103	179
860	1104	178
861	1106	177
862	1107	175
863	1109	174
864	1110	173
865	1111	171
866	1112	170
867	1115	169
868	1116	168
869	1118	167
870	1119	165
871	1120	164
872	1121	163
873	1122	161
874	1123	160
875	1124	159
876	1125	157
877	1127	156
878	1128	155
879	1129	154
880	1131	152
881	1132	151
882	1134	150
883	1135	148
884	1136	147
885	1137	146
886	1138	145
887	1140	143
888	1141	142
889	1142	141
890	1144	139
891	1146	138
892	1147	137
893	1148	136
894	1149	134
895	1151	133
896	1152	132
897	1153	131
898	1155	129
899	1156	128
900	1158	127
901	1159	125
902	1161	124
903	1162	123
904	1163	122
905	1165	120
906	1166	119
907	1167	118
908	1168	117
909	1170	115
910	1171	114
911	1172	113
912	1174	111
913	1176	110
914	1177	109
915	1179	108
916	1180	106
917	1181	105
918	1182	104
919	1183	102
920	1184	101
921	1186	100
922	1187	99
923	1188	97
924	1190	96
925	1191	95
926	1192	93
927	1194	92
928	1195	91
929	1196	90
930	1197	88
931	1199	87
932	1200	86
933	1201	84
934	1202	83
935	1205	82
936	1207	81
937	1208	79
938	1209	78
939	1211	77
940	1212	76
941	1214	74
942	1215	73
943	1216	72
944	1218	70
945	1220	69
946	1222	68
947	1224	67
948	1225	65
949	1226	64
950	1227	63
951	1229	61
952	1230	60
953	1231	59
954	1232	58
955	1234	56
956	1235	55
957	1237	54
958	1238	52
959	1239	51
960	1240	50
961	1241	49
962	1243	47
963	1244	46
964	1245	45
965	1246	43
966	1248	42
967	1249	41
968	1250	40
969	1252	38
970	1253	37
971	1254	36
972	1255	34
973	1256	33
974	1258	32
975	1259	30
976	1260	29
977	1261	28
978	1262	27
979	1263	25
980	1265	24
981	1266	23
982	1268	21
983	1269	20
984	1270	19
985	1271	18
986	1272	16
987	1274	15
988	1275	14
989	1276	12
990	1277	11
991	1278	10
992	1280	9
993	1282	7
994	1283	6
995	1285	5
996	1286	3
997	1287	2
998	1288	1
999	1290	0
